Title,Description,Source,URL,Sentiment
The Galaxy Z Fold 7 and Flip 7 are set to get significant display upgrades,Next year's Samsung foldable phones could feature bigger displays. How much bigger? Quite a lot!,Digital Trends,https://www.digitaltrends.com/mobile/samsung-galaxy-z-fold-7-z-flip-7-set-to-get-significant-display-upgrades/,Neutral
"Meet the CEO trying to turn around Air India, the 92-year-old airline with a pile of problems","Air India CEO Campbell Wilson compared his turnaround efforts to juggling and ""drinking from a firehose,"" with plans for hundreds of new planes.",Business Insider,https://www.businessinsider.com/air-india-ceo-turnaround-boeing-leadership-seats-supply-chain-2024-12,Positive
Trump says his presidency won't be a failure if he can't lower grocery prices,"Trump told Time magazine that lowering grocery prices is ""very hard,"" after saying that he won partially because of high food costs.",Business Insider,https://www.businessinsider.com/trump-grocery-prices-time-magazine-interview-inflation-2024-12,Negative
The American industry that wants more government intervention,"As President-elect Trump promises to eliminate government agencies and regulations, one American industry — mining — is asking for more intervention. They say national economic and military security are at stake.",NPR,https://www.npr.org/2024/12/18/nx-s1-5220261/american-mining-industry-regulation-trump,Positive
New iPhone 17 Pro rumor suggests radical redesign,The iPhone 17 Pro could sport a horizontal camera bar.,Tom's Guide,https://www.tomsguide.com/phones/iphones/leaked-iphone-17-pro-frame-suggests-major-redesign-that-mirrors-pixel-9-pro,Neutral
Why Top Brands Are Encouraging Customers to Buy Second-Hand,"Companies are turning to resale, repair, and rental models to extend the life of garments, reduce waste, and lower their carbon footprint.",Time,https://time.com/7201984/why-top-brands-are-encouraging-customers-to-buy-second-hand/,Negative
Electric Cargo Bikes Made from Discarded Bike Frames,"These electric cargo bikes, by Arkansas-based Gnargo Bike Co., are made from discarded steel bike frames. ""After an environmentally friendly burn-off of existing finishes and oils, frames are fully sandblasted and brought back into our factory for quality che…",Core77.com,https://www.core77.com/posts/134563/Electric-Cargo-Bikes-Made-from-Discarded-Bike-Frames,Positive
Supply chain leak suggests that the iPhone 17 Pro will look weird,"A while back we heard that the iPhone 17 Pro will have a rectangular camera bump, instead of the current square bump that has been used for many generations. That report also claimed that Apple is dumping titanium and is going back to aluminum for the frames.…",GSMArena.com,https://www.gsmarena.com/supply_chain_leak_suggests_that_the_iphone_17_pro_will_look_weird_and_will_be_impractical-news-65714.php,Positive
"Trump backs dockworkers' fight against automation. He risks price hikes, experts say","Automation causes ""distress, hurt, and harm"" for U.S. workers, Trump says.",ABC News,https://abcnews.go.com/US/trump-backs-dockworkers-fight-automation-move-risks-higher/story?id=116763101,Neutral
Starbucks faces disruptions following ransomware attack on software supplier,The coffee giant said that an outage at a third-party vendor has disrupted a back-end Starbucks process that enables employee scheduling and time tracking.  ...,Yahoo Entertainment,https://finance.yahoo.com/news/starbucks-faces-disruptions-following-ransomware-201734823.html,Neutral
Where Will All of Big Tech’s Nuclear Waste Go?,Nuclear waste is spread across 94 different nuclear sites in the U.S. and has no permanent home. Big Tech is going to add more to the pile.,Gizmodo.com,https://gizmodo.com/where-will-all-of-big-techs-nuclear-waste-go-2000541209,Positive
Navigating The Future Of Retail Supply Chain,"The world of supply chain fulfillment is being driven by workforce shortages, minimum wage increases and the relentless push for efficiency.",Forbes,https://www.forbes.com/councils/forbestechcouncil/2024/12/18/navigating-the-future-of-retail-supply-chain/,Neutral
The Soaring Highs and Deflating Lows of Commercial Spaceflight in 2024,"This year, private space companies were put to the test. Some thrived under pressure, while others crashed and burned.",Gizmodo.com,https://gizmodo.com/the-soaring-highs-and-deflating-lows-of-commercial-spaceflight-in-2024-2000538101,Neutral
"XMLRPC npm Library Turns Malicious, Steals Data, Deploys Crypto Miner",Cybersecurity researchers have discovered a software supply chain attack that has remained active for over a year on the npm package registry by starting off as an innocuous library and later adding malicious code to steal sensitive data and mine cryptocurren…,Internet,https://thehackernews.com/2024/11/xmlrpc-npm-library-turns-malicious.html,Negative
Cook visits China to boost supply chain,"Tim Cook, Apple CEO, is currently in a discussion with China surrounding the global supply chain and to aid the country’s economy. Cook often visits China to improve the company’s relationship with China and government officials. The latest trip has the Apple…",iLounge,https://www.ilounge.com/news/cook-visits-china-to-boost-supply-chain,Positive
Supply-chain attack analysis: Ultralytics (PyPI Blog),"The Python Package Index (PyPI) Blog has an analysis
of the compromise of
the ultralytics
project, and what PyPI has learned from this event:


PyPI staff and volunteers do their best to remove malware, but
because the service is open to anyone looking to pub…",Lwn.net,https://lwn.net/Articles/1001909/,Positive
"YoY Measures of Inflation: Services, Goods and Shelter",,Blogger.com,https://www.blogger.com/comment/fullpage/post/10004977/5037619549625338324,Neutral
"Apple offered Indonesia $10M then $100M, but it now expects $1B within a week","Apple is known for playing hardball when it comes to negotiations, but it seems the Indonesian government is capable of giving as good as it gets.



The country banned the sale of the iPhone 16, saying the Cupertino company hadn’t invested enough in the loca…",9to5Mac,https://9to5mac.com/2024/12/03/apple-offered-indonesia-10m-then-100m-but-it-now-expects-1b-within-a-week/,Positive
Oysters linked to norovirus outbreak sickens at least 80 people at restaurant event,The outbreak stemmed from an event at the Hollywood Palladium celebrating the Los Angeles Times' list of the 101 best restaurants on Dec. 3.,ABC News,https://abcnews.go.com/US/raw-oysters-linked-norovirus-outbreak-leaves-80-sickened/story?id=116966527,Positive
Corning agrees to open up Gorilla Glass sales after antitrust pressure,"Corning's Gorilla Glass could be less exclusive, showing up on more devices in the future",Android Police,https://www.androidpolice.com/corning-gorilla-glass-sales-after-antitrust-pressure/,Positive
Xiaomi making its own chip is the right move. Here's why.,Xiaomi can customize a chip relatively free from the Qualcomm tax.,Android Central,https://www.androidcentral.com/phones/xiaomi-making-its-own-chip-is-the-right-move-heres-why,Positive
"Apple in 2025: Home Hub, iPhone SE 4, AirTag 2, New iPads, and More","Barring any surprises, Apple is not expected to release any more new hardware before 2024 ends. Apple is rumored to have many product announcements planned for the first half of next year, though, including an all-new smart home hub, the iPhone SE 4, an AirTa…",MacRumors,https://www.macrumors.com/2024/11/21/apple-products-rumored-for-early-2025/,Positive
What Today's Jobs Report Means for Mortgage Rates and the Fed,Strong economic data could encourage the Federal Reserve to postpone interest rate cuts in 2025.,CNET,https://www.cnet.com/personal-finance/what-todays-jobs-report-means-for-mortgage-rates-and-the-fed/,Positive
The Critical Role Of The Humanitarian Supply Chain,"Hundreds of millions of people depend on humanitarian aid. Given the current geopolitical, economic and ecological crises, it is more important than ever.",Forbes,https://www.forbes.com/sites/sap/2024/12/05/the-critical-role-of-the-humanitarian-supply-chain/,Positive
Why Security Ratings Alone Won't Save Your Software Supply Chain,"Security ratings are valuable, but they're just the beginning of the conversation.",Forbes,https://www.forbes.com/councils/forbestechcouncil/2024/12/12/why-security-ratings-alone-wont-save-your-software-supply-chain/,Neutral
Moselle Lock Closure: How To Mitigate Supply Chain Disruption,"As a result of the Moselle River accident, this critical waterway is now out of service for many months, which could have economic consequences.",Forbes,https://www.forbes.com/sites/sap/2024/12/16/moselle-lock-closure-how-to-mitigate-supply-chain-disruption/,Positive
"Costco Is Recalling 10,800 Units of Its Kirkland Signature Pasture-Raised Eggs Over Salmonella Concerns","The eggs, which came in 24-count boxes and weren't meant to be sold in stores, ""were instead packaged and distributed in retail packaging.""",Food & Wine,https://www.foodandwine.com/costco-kirkland-signature-egg-recall-salmonella-2024-8753900,Neutral
Supplier Onboarding Is Core To Molex’s Supply Chain Transformation,"When you talk to companies that have implemented enterprise or supply chain applications, executives will usually admit that they have under-invested in training and p...",Forbes,https://www.forbes.com/sites/stevebanker/2024/12/13/supplier-onboarding-is-core-to-molexs-supply-chain-transformation/,Negative
New iPhone 17 rumors point to a radically different rear camera layout,"At least one model of the iPhone 17 could end up with a camera bar instead of the regular bump, according to a pair of new, overlapping rumors.An example of a supposed camera placement on the iPhone 17 Slim - Image Credit: Digital Chat Station/WeiboThe rumore…",AppleInsider,https://appleinsider.com/articles/24/12/12/new-iphone-17-rumors-point-to-a-radically-different-rear-camera-layout,Negative
"Ransomware attack on Blue Yonder hits Starbucks, grocery stores across the world","A major supply chain management company was hit with ransomware, sending ripples throughout the business world.",TechRadar,https://www.techradar.com/pro/security/ransomware-attack-on-blue-yonder-hits-starbucks-grocery-stores-across-the-world,Positive
Starbucks has gone back to pen and paper after vendor ransomware attack,Employee pay and schedules are being tracked on paper at Starbucks following supply chain attack.,TechRadar,https://www.techradar.com/pro/security/starbucks-has-gone-back-to-pen-and-paper-after-vendor-ransomware-attack,Neutral
Elon Musk's demands for Nvidia's AI chips strained its supply,Tesla (TSLA) CEO Elon Musk’s aggressive pursuit of artificial intelligence chips for his supercomputer has pushed Nvidia (NVDA) to its production limits.Read more...,Quartz India,https://qz.com/elon-musk-nvidia-ai-chips-strain-supply-xai-colossus-1851709302,Negative
"This could be the iPhone 17 Pro horizontal camera bump, says reliable leaker","Long before the iPhone 16 launch, there were suggestions that it would have a side-by-side camera layout to better support spatial video across all three lenses. That of course didn’t happen, but a leaker with a decent track record now suggests this layout wi…",9to5Mac,https://9to5mac.com/2024/12/12/this-could-be-the-iphone-17-pro-horizontal-camera-bump-says-reliable-leaker/,Positive
Navigating The Evolution Of Supply Chains In A Dynamic World,Supply chain management is a dynamic industry marked by challenges and opportunities.,Forbes,https://www.forbes.com/councils/forbestechcouncil/2024/12/10/navigating-the-evolution-of-supply-chains-in-a-dynamic-world/,Positive
"‘Everyone except the blue collars’: Print shop employee hears that the suits upstairs all get $3500 bonuses for Christmas while warehouse workers get nothing, so he calls them out for their inequality","Some of us are relying on a Christmas bonus that'll never come... And the blue-collar employee in this next story is definitely one of us.
Companies always seem to be boasting of record profits and increased shareholder value, but when it comes to raises, th…",Cheezburger.com,https://cheezburger.com/38330629/everyone-except-the-blue-collars-print-shop-employee-hears-that-the-suits-upstairs-all-get-3500,Neutral
Nvidia's Blackwell chip could push the company into a new stratosphere as the AI revolution continues,"Nvidia's Blackwell chip has taken the world by storm. For that reason, Yahoo Finance has selected Blackwell as its 2024 Product of the Year.",Yahoo Entertainment,https://finance.yahoo.com/news/nvidias-blackwell-chip-could-push-the-company-into-a-new-stratosphere-as-the-ai-revolution-continues-110015637.html,Neutral
Big Changes Are Coming To Fast Food Chains In 2025,"Plenty of fast food chains have struggled this year, but that hasn't stopped their ambitions to make big changes in 2025. We take a look at what's cooking.",Mashed.com,https://www.mashed.com/1719310/big-changes-coming-fast-food-chains-2025/,Positive
"Boeing whistleblower claims ‘thousands’ of broken parts, including crucial steering tools, ended up on airplanes",Boeing denied the allegations and said it investigated quality investigator Sam Mohawk’s claims and found no evidence of missing defective parts on its...,Yahoo Entertainment,https://www.yahoo.com/news/boeing-whistleblower-claims-thousands-broken-022700454.html,Negative
The imported cars and SUVs most at risk of price hikes under Trump's tariff plan,President-elect Trump announced on Monday plans to levy 25% tariffs on goods from Canada and Mexico.,Business Insider,https://www.businessinsider.com/cars-made-in-mexico-canada-trump-tariff-price-hikes-2024-11,Neutral
"Nursing has become a new frontier for gig work, and it's creating the same issues that Uber drivers face","Nurses have started to use gig work apps to land shifts at healthcare facilities, a report found. Many are facing similar issues to Uber drivers.",Business Insider,https://www.businessinsider.com/uber-for-nursing-apps-show-issues-across-expanding-gig-economy-2024-12,Positive
Can digital resilience be achieved beyond the IT perimeter?,To meet the current and future needs for digital resilience organizations need to see their entire digital supply chain.,TechRadar,https://www.techradar.com/pro/can-digital-resilience-be-achieved-beyond-the-it-perimeter,Neutral
Former Nintendo Executive and ESA Co-Creator Don James Will Receive Lifetime Achievement Award at DICE Awards,"The Academy of Interactive Arts & Sciences (AIAS) has announced the recipient of this year's Lifetime Achievement Award. Don James, a former Nintendo of America executive and co-creator of the ESA, will receive the honor at the annual DICE Awards in February.",IGN,https://www.ign.com/articles/former-nintendo-executive-and-esa-co-creator-don-james-will-receive-lifetime-achievement-award-at-dice-awards,Neutral
Open source supply chain faces security issues,"The open source software supply chain shows signs of 'AppSec exhaustion,' with organizations showing diminished engagement in security practices and struggling to meet vulnerability management goals, according to a new report. The study from Snyk, based on a …",BetaNews,https://betanews.com/2024/12/02/open-source-supply-chain-faces-security-issues/,Positive
The iPhone 17 Pro may not have a redesigned camera after all,"There have already been quite a few leaks about the iPhone 17, but this latest contradicts many previous rumors about the phone's camera layout.",Digital Trends,https://www.digitaltrends.com/mobile/iphone-17-pro-may-not-have-a-redesigned-camera-after-all/,Positive
NZXT dismisses PC rental allegations as ‘misconceptions’ while promising changes,"After Gamers Nexus investigation, the company CEO acknowledged that NZXT ""messed up"" its Flex rental service.",Digital Trends,https://www.digitaltrends.com/computing/nzxt-flex-rental-service-response/,Neutral
World Beekeeping Awards axe honey prize due to fraud,A report found that 46% of sampled honey products had likely been bulked out with cheaper sugar syrups.,BBC News,https://www.bbc.com/news/articles/cjw0w921nzgo,Neutral
M5 iPad Pro rumored to arrive sometime in late 2025,"Apple's next update to the iPad Pro line with an M5 chip is quite a way from release, an analyst claims, with mass production of the tablet expected to happen in late 2025.13-inch iPad Pro, running on the M4 chipThe most recent iPad Pro release was in May 202…",AppleInsider,https://appleinsider.com/articles/24/12/04/m5-ipad-pro-rumored-to-arrive-sometime-in-late-2025,Positive
"iPhone 17 range will keep triangular camera system, claims leaker","A new leak claims that recent rumors of at least one iPhone 17 model switching to a horizontal row of cameras, are wrong.Close up on the iPhone's familiar camera triangleThe original rumor came from two sources that both claimed knowledge of a horizontal came…",AppleInsider,https://appleinsider.com/articles/24/12/18/iphone-17-range-will-keep-triangular-camera-system-claims-leaker,Positive
Tim Cook says Apple has invested over $18 billion in the UK since 2019,"As he visits Apple Stores in London, Tim Cook says the company is continuing to expand on its more than $18 billion investment in the country, and how it has doubled its engineering teams there.Tim Cook (left) has a pint with ""Slow Horses"" star Jack LowdenOn …",AppleInsider,https://appleinsider.com/articles/24/12/11/tim-cook-says-apple-has-invested-over-18-billion-in-the-uk-since-2019,Positive
"All four iPhone 17 models are again tipped to get 120Hz displays, and I couldn’t be happier","We'd previously heard that Apple could be going full 120Hz with the new iPhone lineup, and a new supply chain rumor seems to support this claim.",TechRadar,https://www.techradar.com/phones/iphone/all-four-iphone-17-models-are-again-tipped-to-get-a-crucial-display-upgrade-and-i-couldnt-be-happier,Positive
The World’s Airline Fleets Are Aging As As Supply Chain Stalls,"Around the world, airline fleets are aging due to supply chain woes. But Denver-based Frontier Airlines bucks the trend, operating the world’s youngest fleet.",Forbes,https://www.forbes.com/sites/tedreed/2024/12/13/the-worlds-airline-fleets-are-aging-as-as-supply-chain-stalls/,Negative
